2021-04-29 07:30:43.4454| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 07:30:43.5023| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu C:\dyskD\wywal\testScan\Stat\
2021-04-29 07:30:44.1116| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku C:\dyskD\wywal\testScan\Stat\statystyka_20210427.csv
2021-04-29 07:30:50.7541| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku C:\dyskD\wywal\testScan\Stat\statystyka_20210426.csv
2021-04-29 07:31:15.4643| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 07:31:15.5231| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 07:31:16.2791| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 07:31:29.4768| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 07:31:29.5216| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 07:31:29.9444| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 07:31:38.3954| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 07:31:38.4373| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 07:31:38.9839| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 07:31:48.2221| WARN|classFun.FiskalFile => classFun.SklepStanowiskoRaportaunikalny => classLog.LogWarn Brak powielonych w \\ccc-v444\Statystyka\statystyka_20210427.csv
2021-04-29 07:31:54.4904| WARN|classFun.SummaryAll => classFun.FiskalFile => classLog.LogWarn Nie wygenerowano pliku \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 14:16:25.8491| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 14:16:25.8910| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 14:16:29.4705| WARN|classFun.FiskalFile => classFun.SklepStanowiskoRaportaunikalny => classLog.LogWarn Brak powielonych w \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 14:20:16.9268| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 14:20:16.9757| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 14:20:17.6569| WARN|classFun.FiskalFile => classFun.SklepStanowiskoRaportaunikalny => classLog.LogWarn Brak powielonych w \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 14:21:47.0067| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 14:21:47.0476| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 14:21:47.7656| WARN|classFun.FiskalFile => classFun.SklepStanowiskoRaportaunikalny => classLog.LogWarn Brak powielonych w \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 14:22:16.9746| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo ====================================================================
2021-04-29 14:22:17.0234| INFO|App.Application_Startup => MainWindow..ctor => classLog.LogInfo Odczyt z  katalogu \\ccc-v444\Statystyka\
2021-04-29 14:22:17.6188| WARN|classFun.FiskalFile => classFun.SklepStanowiskoRaportaunikalny => classLog.LogWarn Brak powielonych w \\ccc-v444\Statystyka\statystyka_20210428.csv
2021-04-29 14:22:22.8003|ERROR|Miesiac.btnSave_Click => classExcel.CreateExcel => classLog.LogException Error overwriting file C:\Users\swdowiak\Desktop\miesiac_202103.xlsx
   w OfficeOpenXml.ExcelPackage.Save()
   w OfficeOpenXml.ExcelPackage.SaveAs(FileInfo file)
   w AnalizaDll.classExcel.CreateExcel(List`1 Sklepy, String fileName) w C:\dyskD\praca\kody\AnalizaSold\AnalizaDll\classExcel.cs:wiersz 67
Proces nie mo¿e uzyskaæ dostêpu do pliku „C:\Users\swdowiak\Desktop\miesiac_202103.xlsx”, poniewa¿ jest on u¿ywany przez inny proces.
